iter	Passed	Remaining
1380	358487	160683
1381	358752	160426
1382	358994	160158
1383	359194	159872
1384	359466	159618
1385	359675	159336
1386	359905	159064
1387	360203	158821
1388	360457	158559
1389	360731	158306
1390	360985	158044
1391	361262	157792
1392	361471	157511
1393	361724	157248
1394	361976	156986
1395	362214	156717
1396	362482	156461
1397	362700	156184
1398	362914	155905
1399	363184	155650
1400	363446	155392
1401	363689	155125
1402	363906	154848
1403	364146	154580
1404	364371	154306
1405	364613	154040
1406	364880	153783
1407	365115	153514
1408	365366	153251
1409	365616	152988
1410	365886	152733
1411	366125	152465
1412	366370	152200
1413	366608	151932
1414	366923	151696
1415	367215	151450
1416	367473	151190
1417	367748	150937
1418	367940	150650
1419	368200	150391
1420	368445	150126
1421	368679	149857
1422	368904	149583
1423	369113	149304
1424	369379	149047
1425	369659	148796
1426	369918	148537
1427	370188	148282
1428	370438	148020
1429	370662	147746
1430	370899	147478
1431	371137	147210
1432	371392	146950
1433	371667	146697
1434	371944	146445
1435	372243	146201
1436	372431	145914
1437	372641	145636
1438	372924	145386
1439	373196	145132
1440	373452	144871
1441	373676	144598
1442	373913	144331
1443	374184	144076
1444	374416	143806
1445	374650	143538
1446	374873	143265
1447	375077	142985
1448	375292	142709
1449	375539	142446
1450	375782	142180
1451	376032	141918
1452	376305	141664
1453	376590	141415
1454	376778	141130
1455	377032	140869
1456	377246	140593
1457	377584	140364
1458	377800	140089
1459	378060	139830
1460	378324	139573
1461	378590	139317
1462	378827	139050
1463	379092	138793
1464	379374	138543
1465	379580	138264
1466	379846	138008
1467	380086	137742
1468	380298	137466
1469	380552	137206
1470	380826	136952
1471	381035	136675
1472	381273	136409
1473	381465	136126
1474	381658	135844
1475	381892	135576
1476	382127	135310
1477	382382	135049
1478	382613	134781
1479	382871	134522
1480	383164	134275
1481	383401	134009
1482	383600	133730
1483	383854	133469
1484	384164	133228
1485	384382	132955
1486	384643	132698
1487	384898	132438
1488	385162	132181
1489	385422	131923
1490	385718	131677
1491	385943	131407
1492	386155	131132
1493	386376	130861
1494	386575	130582
1495	386837	130324
1496	387132	130078
1497	387358	129809
1498	387601	129545
1499	387888	129296
1500	388133	129032
1501	388401	128777
1502	388642	128513
1503	388866	128243
1504	389120	127983
1505	389389	127727
1506	389645	127468
1507	389894	127206
1508	390118	126937
1509	390336	126665
1510	390568	126398
1511	390784	126126
1512	391084	125881
1513	391292	125606
1514	391536	125343
1515	391777	125079
1516	392012	124813
1517	392200	124532
1518	392406	124257
1519	392655	123996
1520	392897	123732
1521	393117	123462
1522	393382	123206
1523	393673	122958
1524	393922	122697
1525	394242	122458
1526	394506	122201
1527	394747	121937
1528	395070	121699
1529	395410	121466
1530	395732	121227
1531	396087	120997
1532	396393	120753
1533	396746	120523
1534	397071	120285
1535	397464	120067
1536	397809	119834
1537	398126	119593
1538	398416	119343
1539	398675	119084
1540	399048	118860
1541	399414	118632
1542	399744	118394
1543	400072	118156
1544	400467	117937
1545	400836	117710
1546	401116	117456
1547	401407	117206
1548	401682	116952
1549	401965	116699
1550	402255	116449
1551	402572	116206
1552	402935	115976
1553	403227	115726
1554	403513	115474
1555	403835	115233
1556	404151	114989
1557	404438	114737
1558	404710	114481
1559	404953	114217
1560	405169	113945
1561	405470	113697
1562	405868	113476
1563	406161	113226
1564	406504	112990
1565	406807	112742
1566	407193	112517
1567	407450	112256
1568	407780	112016
1569	408183	111795
1570	408526	111558
1571	408844	111313
1572	409145	111064
1573	409533	110839
1574	409884	110603
1575	410208	110360
1576	410521	110114
1577	410905	109887
1578	411234	109645
1579	411615	109416
1580	411906	109164
1581	412183	108908
1582	412516	108666
1583	412823	108418
1584	413160	108177
1585	413494	107936
1586	413796	107686
1587	414232	107470
1588	414552	107225
1589	414846	106972
1590	415215	106739
1591	415640	106520
1592	415989	106282
1593	416281	106029
1594	416683	105803
1595	417004	105557
1596	417341	105315
1597	417636	105062
1598	417899	104801
1599	418186	104546
1600	418452	104286
1601	418747	104033
1602	418971	103762
1603	419198	103492
1604	419473	103234
1605	419737	102974
